Bait	Prey	Abundance	FCA	log(FCA)	BioGRID	BioGRID2	intAct	intAct2	SP
MTHFR_38to656	P53990	0.7	1.02090026971	1.01	0	0	0	0	0.26
MTHFR	P78371	18.7	2.41278230802	1.77	0	0	0	0	0.99
MTHFR_38to656	P78371	20.3	2.53285735325	1.82	0	0	0	0	0.99
MTHFR_T34A	P78371	17.3	2.54213953177	1.82	0	0	0	0	1.0
MTHFR	Q8IX01	1.3	1.06758793688	1.05	0	0	0	0	0.26
MTHFR_38to656	Q8IX01	2.7	1.08360107885	1.06	0	0	0	0	0.28
MTHFR	Q99832	8.0	1.59116365801	1.37	0	0	0	0	0.99
MTHFR_38to656	Q99832	9.7	1.76723040811	1.47	0	0	0	0	0.99
MTHFR_T34A	Q99832	9.0	1.81757410187	1.49	0	0	0	0	0.99
MTHFR	Q8TAQ2	0.7	1.03379396844	1.02	0	0	0	0	0.16
MTHFR_38to656	Q8TAQ2	1.3	1.04180053943	1.03	0	0	0	0	0.23
MTHFR_38to656	O60716	1.0	1.03135040457	1.02	0	0	0	0	0.21
MTHFR_T34A	O60716	0.7	1.05310858215	1.04	0	0	0	0	0.23
MTHFR	P43487	5.3	1.38698954545	1.26	0	0	0	0	0.98
MTHFR_38to656	P43487	5.3	1.44247393689	1.29	0	0	0	0	0.97
MTHFR_T34A	P43487	5.3	1.48109417267	1.31	0	0	0	0	0.97
MTHFR	Q9NRW1	0.3	1.02905298399	1.02	0	0	0	0	0.0
MTHFR	P35637	1.0	1.05069095266	1.04	0	0	0	0	0.28
MTHFR_38to656	P35637	2.3	1.07315094399	1.05	0	0	0	0	0.32
MTHFR_T34A	P35637	0.3	1.03690286666	1.03	0	0	0	0	0.0
MTHFR	Q92974	4.3	1.34845459255	1.23	0	0	0	0	0.93
MTHFR_38to656	Q92974	4.0	1.24594789837	1.17	0	0	0	0	0.99
MTHFR_T34A	Q92974	4.0	1.3423370691	1.23	0	0	0	0	0.98
MTHFR	Q92973	2.7	1.16967499316	1.12	0	0	0	0	0.94
MTHFR_38to656	Q92973	1.7	1.12122178801	1.08	0	0	0	0	0.94
MTHFR_T34A	Q92973	2.0	1.19186568572	1.13	0	0	0	0	0.91
MTHFR_38to656	Q9H2P0	1.0	1.03135040457	1.02	0	0	0	0	0.2
MTHFR	Q92979	1.3	1.06758793688	1.05	0	0	0	0	0.32
MTHFR_38to656	Q92979	1.0	1.03135040457	1.02	0	0	0	0	0.31
MTHFR	P54577	3.3	1.237968081	1.16	0	0	0	0	0.98
MTHFR_38to656	P54577	2.7	1.27311847267	1.18	0	0	0	0	0.65
MTHFR_T34A	P54577	3.3	1.28997559321	1.2	0	0	0	0	0.98
MTHFR	P62851	1.3	0.343813958952	0.43	0	0	0	0	0.0
MTHFR_T34A	P62851	1.0	0.351419155862	0.43	0	0	0	0	0.0
MTHFR	P68366	1.7	1.13212448022	1.09	0	0	0	0	0.91
MTHFR_38to656	P68366	1.3	1.12755492479	1.09	0	0	0	0	0.89
MTHFR_T34A	P68366	2.3	1.20807140121	1.14	0	0	0	0	0.95
MTHFR	Q13112	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	Q13112	1.0	1.03135040457	1.02	0	0	0	0	0.27
MTHFR	O43237	0.3	1.02905298399	1.02	0	0	0	0	0.0
MTHFR_38to656	O43237	0.3	1.02784608222	1.02	0	0	0	0	0.0
MTHFR_T34A	O43237	0.7	1.05310858215	1.04	0	0	0	0	0.27
MTHFR_38to656	Q9Y3C6	1.3	1.05919648679	1.04	0	0	0	0	0.61
MTHFR_T34A	P35527	2.3	0.216179810758	0.28	0	0	0	0	0.0
MTHFR	P61970	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	P61970	0.7	1.02090026971	1.01	0	0	0	0	0.3
MTHFR_38to656	P35520	0.7	1.08925870771	1.06	0	0	0	0	0.32
MTHFR_T34A	P35520	0.3	1.03690286666	1.03	0	0	0	0	0.0
MTHFR	P61978	16.7	0.440566605387	0.53	0	0	0	0	0.0
MTHFR_38to656	P61978	22.3	0.454295926272	0.54	0	0	0	0	0.0
MTHFR_T34A	P61978	7.7	0.39646964903	0.48	0	0	0	0	0.0
MTHFR	Q14247	4.0	1.30527672889	1.2	0	0	0	0	0.98
MTHFR_38to656	Q14247	5.3	1.47726583162	1.31	0	0	0	0	0.97
MTHFR_T34A	Q14247	5.0	1.41389268551	1.27	0	0	0	0	0.92
MTHFR	Q14244	2.3	1.20041756806	1.14	0	0	0	0	0.63
MTHFR_38to656	Q14244	1.7	1.13861773538	1.1	0	0	0	0	0.87
MTHFR_T34A	Q14244	4.3	1.38884140509	1.26	0	0	0	0	0.98
MTHFR_38to656	Q14240	0.3	1.01045013486	1.01	0	0	0	0	0.0
MTHFR	Q14241	0.7	1.03379396844	1.02	0	0	0	0	0.23
MTHFR_38to656	Q14241	1.3	1.04180053943	1.03	0	0	0	0	0.27
MTHFR	Q8IWX8	1.0	1.05069095266	1.04	0	0	0	0	0.24
MTHFR_38to656	Q8IWX8	2.3	1.07315094399	1.05	0	0	0	0	0.3
MTHFR	P24928	1.7	1.0844849211	1.06	0	0	0	0	0.22
MTHFR_38to656	P24928	2.3	1.07315094399	1.05	0	0	0	0	0.24
MTHFR	Q13200	4.3	1.32414259302	1.22	0	0	0	0	0.99
MTHFR_38to656	Q13200	3.7	1.26967698251	1.18	0	0	0	0	0.98
MTHFR_T34A	Q13200	4.0	1.34383128162	1.23	0	0	0	0	0.98
MTHFR	Q13206	1.0	1.05069095266	1.04	0	0	0	0	0.25
MTHFR_38to656	Q13206	1.0	1.03135040457	1.02	0	0	0	0	0.21
MTHFR	O75190	0.3	1.02806854404	1.02	0	0	0	0	0.0
MTHFR_38to656	O75190	0.7	1.05569216444	1.04	0	0	0	0	0.31
MTHFR_T34A	O75190	0.3	1.02730139733	1.02	0	0	0	0	0.0
MTHFR	Q8N163	9.0	1.67733817002	1.42	0	0	0	0	0.99
MTHFR_38to656	Q8N163	8.0	1.52607501574	1.34	0	0	0	0	1.0
MTHFR_T34A	Q8N163	6.3	1.55040847031	1.35	0	0	0	0	0.99
MTHFR_38to656	Q86X83	0.7	1.02090026971	1.01	0	0	0	0	0.29
MTHFR	Q7Z3B4	1.7	1.0844849211	1.06	0	0	0	0	0.31
MTHFR_38to656	Q7Z3B4	2.0	1.06270080914	1.04	0	0	0	0	0.31
MTHFR	Q15750	2.3	1.20041756806	1.14	0	0	0	0	0.65
MTHFR_38to656	Q15750	1.3	1.09337570579	1.07	0	0	0	0	0.94
MTHFR_T34A	Q15750	3.7	1.32538424735	1.22	0	0	0	0	0.97
MTHFR	Q9GZR7	0.7	1.03379396844	1.02	0	0	0	0	0.21
MTHFR_38to656	Q9GZR7	1.7	1.05225067428	1.04	0	0	0	0	0.27
MTHFR	P62280	6.0	1.46940751296	1.3	0	0	0	0	0.98
MTHFR_38to656	P62280	7.3	1.60832507875	1.38	0	0	0	0	0.99
MTHFR_T34A	P62280	7.0	1.64565846106	1.4	0	0	0	0	0.99
MTHFR	O43347	1.3	1.10208705628	1.07	0	0	0	0	0.9
MTHFR_38to656	O43347	1.3	1.09337570579	1.07	0	0	0	0	0.93
MTHFR_T34A	O43347	1.0	1.08040997948	1.06	0	0	0	0	0.56
MTHFR	P67809	2.7	1.20515855252	1.14	0	0	0	0	0.95
MTHFR_38to656	P67809	2.7	1.15257219258	1.11	0	0	0	0	0.96
MTHFR_T34A	P67809	2.3	1.20807140121	1.14	0	0	0	0	0.95
MTHFR_38to656	Q99549	1.3	1.04180053943	1.03	0	0	0	0	0.25
MTHFR_T34A	Q99549	0.3	1.02655429107	1.02	0	0	0	0	0.0
MTHFR	P25786	2.3	1.17610556853	1.12	0	0	0	0	0.96
MTHFR_38to656	P25786	2.7	1.16996813995	1.12	0	0	0	0	0.96
MTHFR_T34A	P25786	2.7	1.23537279854	1.16	0	0	0	0	0.93
MTHFR	P25787	2.3	1.17610556853	1.12	0	0	0	0	0.95
MTHFR_38to656	P25787	1.7	1.13861773538	1.1	0	0	0	0	0.9
MTHFR_T34A	P25787	2.3	1.19846993188	1.14	0	0	0	0	0.89
MTHFR	P25789	0.7	1.05613708807	1.04	0	0	0	0	0.31
MTHFR_38to656	P25789	0.3	1.04462935385	1.03	0	0	0	0	0.0
MTHFR_T34A	P25789	1.0	1.09150566133	1.06	0	0	0	0	0.59
MTHFR	Q8IXT5	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	Q8IXT5	0.7	1.02090026971	1.01	0	0	0	0	0.15
MTHFR	Q14669	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	Q14669	1.0	1.03135040457	1.02	0	0	0	0	0.11
MTHFR	Q8IZH2	0.3	1.02905298399	1.02	0	0	0	0	0.0
MTHFR_38to656	Q8IZH2	0.7	1.02090026971	1.01	0	0	0	0	0.07
MTHFR_T34A	Q8IZH2	1.0	1.07966287322	1.06	0	0	0	0	0.21
MTHFR	Q9ULW0	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	Q9ULW0	1.3	1.04180053943	1.03	0	0	0	0	0.28
MTHFR	Q9UM54	1.0	1.08617451201	1.06	0	0	0	0	0.44
MTHFR_38to656	Q9UM54	1.0	1.03135040457	1.02	0	0	0	0	0.16
MTHFR_T34A	Q9UM54	0.7	1.05310858215	1.04	0	0	0	0	0.18
MTHFR	P61158	3.0	1.22205553674	1.15	0	0	0	0	0.96
MTHFR_38to656	P61158	1.7	1.10443851638	1.07	0	0	0	0	0.59
MTHFR_T34A	P61158	2.3	1.19772282562	1.14	0	0	0	0	0.92
MTHFR	O95602	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	O95602	1.7	1.05225067428	1.04	0	0	0	0	0.2
MTHFR	Q14103	7.3	1.48640257086	1.31	0	0	0	0	0.98
MTHFR_38to656	Q14103	7.3	1.35044924693	1.23	0	0	0	0	0.98
MTHFR_T34A	Q14103	2.7	1.21616985989	1.15	0	0	0	0	0.63
MTHFR	O94776	1.7	1.0844849211	1.06	0	0	0	0	0.29
MTHFR_38to656	O94776	2.0	1.06270080914	1.04	0	0	0	0	0.29
MTHFR	P67936	0.3	1.02905298399	1.02	0	0	0	0	0.0
MTHFR_T34A	P67936	0.3	1.02655429107	1.02	0	0	0	0	0.0
MTHFR_38to656	Q9HCE1	1.7	1.06964662165	1.05	0	0	0	0	0.54
MTHFR	P62191	1.7	1.1189840405	1.08	0	0	0	0	0.93
MTHFR_38to656	P62191	1.3	1.11077165315	1.08	0	0	0	0	0.9
MTHFR_T34A	P62191	1.7	1.15496281906	1.11	0	0	0	0	0.9
MTHFR_38to656	Q9BRL6	0.3	1.01045013486	1.01	0	0	0	0	0.0
MTHFR	P62195	1.3	1.10208705628	1.07	0	0	0	0	0.9
MTHFR_38to656	P62195	2.3	1.10794283873	1.08	0	0	0	0	0.63
MTHFR_T34A	P62195	0.7	1.06345715773	1.05	0	0	0	0	0.0
MTHFR	P11142	28.7	0.405328302497	0.49	0	0	0	0	0.0
MTHFR_38to656	P11142	28.0	0.401733366281	0.49	0	0	0	0	0.0
MTHFR_T34A	P11142	29.7	0.459416097367	0.55	0	0	0	0	0.0
MTHFR	O95816	0.7	1.05613708807	1.04	0	0	0	0	0.31
MTHFR_38to656	O95816	1.7	1.10382584065	1.07	0	0	0	0	0.93
MTHFR_T34A	O95816	1.0	1.08040997948	1.06	0	0	0	0	0.58
MTHFR	P50502	0.7	1.05712152802	1.04	0	0	0	0	0.0
MTHFR_38to656	P50502	0.7	1.05569216444	1.04	0	0	0	0	0.31
MTHFR_T34A	P50502	0.3	1.02655429107	1.02	0	0	0	0	0.0
MTHFR_38to656	Q14807	0.7	1.02090026971	1.01	0	0	0	0	0.21
MTHFR	O14776	3.3	1.16896984221	1.12	0	0	0	0	0.32
MTHFR_38to656	O14776	2.0	1.06270080914	1.04	0	0	0	0	0.25
MTHFR	O95777	0.3	1.01689698422	1.01	1	0	1	0	0.0
MTHFR_38to656	O95777	0.7	1.02090026971	1.01	1	0	1	0	0.3
MTHFR	P61081	0.7	1.05613708807	1.04	0	0	0	0	0.3
MTHFR_38to656	P61081	1.0	1.0661422993	1.05	0	0	0	0	0.57
MTHFR_T34A	P61081	1.0	1.08115708574	1.06	0	0	0	0	0.58
MTHFR	Q9BUJ2	2.0	1.10138190532	1.07	0	0	0	0	0.3
MTHFR_38to656	Q9BUJ2	1.7	1.05225067428	1.04	0	0	0	0	0.27
MTHFR	P62266	1.3	0.6989394502	0.76	0	0	0	0	0.02
MTHFR_38to656	P62266	2.0	0.733729302706	0.79	0	0	0	0	0.06
MTHFR_T34A	P62266	1.7	0.73657559766	0.8	0	0	0	0	0.07
MTHFR	P62263	4.3	0.657852515674	0.73	0	0	0	0	0.03
MTHFR_38to656	P62263	4.7	0.65074718449	0.72	0	0	0	0	0.01
MTHFR_T34A	P62263	4.3	0.694927510944	0.76	0	0	0	0	0.02
MTHFR	Q9BWJ5	0.7	1.03379396844	1.02	0	0	0	0	0.3
MTHFR_38to656	Q9BWJ5	0.7	1.02090026971	1.01	0	0	0	0	0.3
MTHFR	P62269	8.0	0.684262519216	0.75	0	0	0	0	0.01
MTHFR_38to656	P62269	9.0	0.697652310627	0.76	0	0	0	0	0.02
MTHFR_T34A	P62269	8.3	0.746318813278	0.8	0	0	0	0	0.01
MTHFR	Q08945	3.0	1.15207285798	1.11	0	0	0	0	0.32
MTHFR_38to656	Q08945	5.3	1.1672021577	1.12	0	0	0	0	0.33
MTHFR	Q9H0A0	4.0	1.20276381065	1.14	0	0	0	0	0.33
MTHFR_38to656	Q9H0A0	7.3	1.22990296684	1.16	0	0	0	0	0.33
MTHFR_38to656	Q9NV06	1.3	1.04180053943	1.03	0	0	0	0	0.3
MTHFR	P07195	3.7	1.28016150471	1.19	0	0	0	0	0.98
MTHFR_38to656	P07195	3.7	1.23488508778	1.16	0	0	0	0	0.94
MTHFR_T34A	P07195	4.0	1.34158996284	1.23	0	0	0	0	0.96
MTHFR	P07197	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	P07197	1.3	1.04180053943	1.03	0	0	0	0	0.25
MTHFR	P07196	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	P07196	1.0	1.03135040457	1.02	0	0	0	0	0.28
MTHFR	Q9BTT0	1.7	1.11996848045	1.08	0	0	0	0	0.93
MTHFR_38to656	Q9BTT0	1.3	1.05919648679	1.04	0	0	0	0	0.63
MTHFR_T34A	Q9BTT0	0.7	1.05385568841	1.04	0	0	0	0	0.0
MTHFR	Q71U36	3.0	1.23322709655	1.16	0	0	0	0	0.98
MTHFR_38to656	Q71U36	2.3	1.19369722409	1.13	0	0	0	0	0.96
MTHFR_T34A	Q71U36	3.3	1.29957706254	1.2	0	0	0	0	0.97
MTHFR	O00443	0.7	1.05712152802	1.04	0	0	0	0	0.0
MTHFR_38to656	O00443	0.3	1.01045013486	1.01	0	0	0	0	0.0
MTHFR_T34A	O00443	1.0	1.08040997948	1.06	0	0	0	0	0.26
MTHFR	Q9BT78	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	Q9BT78	0.7	1.02090026971	1.01	0	0	0	0	0.24
MTHFR_T34A	Q9BT78	0.7	1.05385568841	1.04	0	0	0	0	0.0
MTHFR	Q9NTJ3	3.3	1.25110852073	1.17	0	0	0	0	0.98
MTHFR_38to656	Q9NTJ3	3.0	1.19781422217	1.14	0	0	0	0	0.96
MTHFR_T34A	Q9NTJ3	2.7	1.2361199048	1.16	0	0	0	0	0.94
MTHFR	O95163	0.3	1.02806854404	1.02	0	0	0	0	0.0
MTHFR_38to656	O95163	0.3	1.02784608222	1.02	0	0	0	0	0.0
MTHFR_T34A	O95163	0.7	1.05310858215	1.04	0	0	0	0	0.18
MTHFR	Q00577	1.3	1.10208705628	1.07	0	0	0	0	0.9
MTHFR_38to656	Q00577	1.0	1.0661422993	1.05	0	0	0	0	0.55
MTHFR_T34A	Q00577	1.0	1.08115708574	1.06	0	0	0	0	0.55
MTHFR	P13639	26.7	2.06902996576	1.62	0	0	0	0	0.48
MTHFR_38to656	P13639	28.0	2.08616130138	1.63	0	0	0	0	0.41
MTHFR_T34A	P13639	27.3	2.30152510456	1.72	0	0	0	0	0.65
MTHFR_38to656	Q9P0K7	1.3	1.04180053943	1.03	0	0	0	0	0.24
MTHFR	P52907	3.7	1.26702106499	1.18	0	0	0	0	0.98
MTHFR_38to656	P52907	3.3	1.22443495292	1.15	0	0	0	0	0.94
MTHFR_T34A	P52907	2.3	1.20807140121	1.14	0	0	0	0	0.95
MTHFR	P62841	3.0	1.2322426566	1.16	0	0	0	0	0.95
MTHFR_38to656	P62841	2.3	1.19430989982	1.13	0	0	0	0	0.89
MTHFR_T34A	P62841	3.0	1.2641684084	1.18	0	0	0	0	0.91
MTHFR	Q96CW1	0.7	1.03379396844	1.02	0	0	0	0	0.27
MTHFR_38to656	Q96CW1	2.0	1.06270080914	1.04	0	0	0	0	0.32
MTHFR	Q9P258	2.7	1.14733187353	1.1	0	0	0	0	0.59
MTHFR_38to656	Q9P258	1.7	1.05225067428	1.04	0	0	0	0	0.3
MTHFR_T34A	Q9P258	1.3	1.11656573988	1.08	0	0	0	0	0.57
MTHFR	Q8IY67	6.0	1.44411107347	1.29	0	0	0	0	0.99
MTHFR_38to656	Q8IY67	3.7	1.21932716761	1.15	0	0	0	0	0.64
MTHFR_T34A	Q8IY67	4.0	1.34383128162	1.23	0	0	0	0	0.95
MTHFR	P15880	7.7	1.56407955393	1.36	0	0	0	0	0.98
MTHFR_38to656	P15880	9.7	1.71688059321	1.44	0	0	0	0	0.99
MTHFR_T34A	P15880	8.0	1.70686550189	1.44	0	0	0	0	0.99
MTHFR_38to656	Q96QC0	1.3	1.04180053943	1.03	0	0	0	0	0.24
MTHFR_38to656	Q9Y3E1	0.3	1.01045013486	1.01	0	0	0	0	0.0
MTHFR_38to656	O15164	0.7	1.02090026971	1.01	0	0	0	0	0.14
MTHFR	O15160	0.7	1.03379396844	1.02	0	0	0	0	0.29
MTHFR_38to656	O15160	2.0	1.0800967565	1.06	0	0	0	0	0.61
MTHFR_T34A	O15160	0.3	1.02655429107	1.02	0	0	0	0	0.0
MTHFR	Q99829	1.7	1.13114004027	1.09	0	0	0	0	0.92
MTHFR_38to656	Q99829	1.7	1.10443851638	1.07	0	0	0	0	0.6
MTHFR_T34A	Q99829	2.3	1.19921703814	1.14	0	0	0	0	0.95
MTHFR	P22314	3.0	1.22008665683	1.15	0	0	0	0	0.93
MTHFR_38to656	P22314	3.7	1.16713932552	1.12	0	0	0	0	0.59
MTHFR_T34A	P22314	2.0	1.16156706522	1.11	0	0	0	0	0.57
MTHFR	Q8IX12	0.7	1.03379396844	1.02	0	0	0	0	0.15
MTHFR_38to656	Q8IX12	2.0	1.06270080914	1.04	0	0	0	0	0.28
MTHFR	Q9UKV3	2.7	1.13517587376	1.09	0	0	0	0	0.28
MTHFR_38to656	Q9UKV3	6.3	1.19855256227	1.14	0	0	0	0	0.32
MTHFR	P35606	5.7	1.43937008902	1.29	0	0	0	0	0.99
MTHFR_38to656	P35606	4.3	1.35954836595	1.24	0	0	0	0	0.98
MTHFR_T34A	P35606	6.0	1.54529843667	1.35	0	0	0	0	0.98
MTHFR	Q4VCS5	6.0	1.37511283467	1.25	0	0	0	0	0.97
MTHFR_38to656	Q4VCS5	8.7	1.306495401	1.21	0	0	0	0	0.61
MTHFR_T34A	Q4VCS5	1.3	1.11731284614	1.08	0	0	0	0	0.84
MTHFR	P78527	27.7	2.63670972609	1.86	0	0	0	0	1.0
MTHFR_38to656	P78527	34.3	2.25032336386	1.7	0	0	0	0	0.64
MTHFR_T34A	P78527	10.0	1.8750456114	1.52	0	0	0	0	0.99
MTHFR	P62995	1.0	1.05069095266	1.04	0	0	0	0	0.31
MTHFR_38to656	P62995	1.3	1.04180053943	1.03	0	0	0	0	0.32
MTHFR_T34A	P62995	0.3	1.03690286666	1.03	0	0	0	0	0.0
MTHFR	Q96AG4	3.7	1.29133306453	1.2	0	0	0	0	0.97
MTHFR_38to656	Q96AG4	5.0	1.43202380203	1.28	0	0	0	0	0.98
MTHFR_T34A	Q96AG4	4.0	1.35268564469	1.23	0	0	0	0	0.98
MTHFR_T34A	P11908	0.3	1.02730139733	1.02	0	0	0	0	0.0
MTHFR	P56537	1.0	1.05069095266	1.04	0	0	0	0	0.31
MTHFR_38to656	P56537	1.0	1.03135040457	1.02	0	0	0	0	0.31
MTHFR	O43809	3.0	1.18558753743	1.13	0	0	0	0	0.64
MTHFR_38to656	O43809	4.7	1.19848973009	1.14	0	0	0	0	0.64
MTHFR_T34A	O43809	3.0	1.28262424079	1.19	0	0	0	0	0.95
MTHFR	Q99956	4.3	1.3474701526	1.23	0	0	0	0	0.95
MTHFR_38to656	Q99956	2.3	1.19430989982	1.13	0	0	0	0	0.88
MTHFR_T34A	Q99956	4.7	1.40803554561	1.27	0	0	0	0	0.97
MTHFR	Q14498	2.0	1.11353790509	1.08	0	0	0	0	0.6
MTHFR_38to656	Q14498	2.0	1.06270080914	1.04	0	0	0	0	0.3
MTHFR_T34A	Q14498	0.3	1.02655429107	1.02	0	0	0	0	0.0
MTHFR	P42695	0.7	1.03379396844	1.02	0	0	0	0	0.14
MTHFR_38to656	P42695	1.7	1.05225067428	1.04	0	0	0	0	0.23
MTHFR_38to656	P42696	1.0	1.03135040457	1.02	0	0	0	0	0.28
MTHFR	P57088	0.7	1.04496552826	1.03	0	0	0	0	0.0
MTHFR_38to656	P57088	1.3	1.14495087215	1.1	0	0	0	0	0.63
MTHFR_T34A	P57088	0.7	1.05385568841	1.04	0	0	0	0	0.0
MTHFR	P61981	2.0	1.14803702449	1.1	0	0	0	0	0.95
MTHFR_38to656	P61981	1.3	1.07659243416	1.05	0	0	0	0	0.62
MTHFR_T34A	P61981	1.3	1.10696427055	1.08	0	0	0	0	0.57
MTHFR	Q6P1N0	2.0	1.15920858431	1.11	0	0	0	0	0.87
MTHFR_38to656	Q6P1N0	1.0	1.0661422993	1.05	0	0	0	0	0.43
MTHFR_T34A	Q6P1N0	2.7	1.25532284346	1.17	0	0	0	0	0.96
MTHFR	O75691	0.7	1.03379396844	1.02	0	0	0	0	0.03
MTHFR_38to656	O75691	4.0	1.12540161828	1.09	0	0	0	0	0.23
MTHFR	Q14258	1.3	1.09091549647	1.06	0	0	0	0	0.91
MTHFR_38to656	Q14258	2.0	1.13167192287	1.09	0	0	0	0	0.97
MTHFR_T34A	Q14258	1.7	1.13426566789	1.09	0	0	0	0	0.58
MTHFR	O75694	2.3	1.11827888954	1.08	0	0	0	0	0.28
MTHFR_38to656	O75694	5.7	1.17765229256	1.12	0	0	0	0	0.32
MTHFR	Q14254	0.7	1.03379396844	1.02	0	0	0	0	0.27
MTHFR_38to656	Q14254	2.0	1.06270080914	1.04	0	0	0	0	0.32
MTHFR	O94832	0.7	1.04496552826	1.03	0	0	0	0	0.0
MTHFR_38to656	O94832	0.7	1.03829621708	1.03	0	0	0	0	0.0
MTHFR_T34A	O94832	0.3	1.02730139733	1.02	0	0	0	0	0.0
MTHFR	Q53HL2	0.7	1.03379396844	1.02	1	0	1	0	0.3
MTHFR_38to656	Q53HL2	0.3	1.01045013486	1.01	1	0	1	0	0.0
MTHFR	Q02543	0.7	1.04594996821	1.03	0	0	0	0	0.0
MTHFR_38to656	Q02543	2.0	1.1142759755	1.08	0	0	0	0	0.94
MTHFR_T34A	Q02543	1.0	1.09001144881	1.06	0	0	0	0	0.61
MTHFR	Q05639	2.7	1.1939869927	1.13	0	0	0	0	0.97
MTHFR_38to656	Q05639	2.3	1.17630127672	1.12	0	0	0	0	0.96
MTHFR_T34A	Q05639	2.7	1.23537279854	1.16	0	0	0	0	0.95
MTHFR	Q9H3U1	4.0	1.32038604852	1.21	0	0	0	0	0.96
MTHFR_38to656	Q9H3U1	4.0	1.2807397931	1.19	0	0	0	0	0.98
MTHFR_T34A	Q9H3U1	4.3	1.38958851135	1.26	0	0	0	0	0.98
MTHFR	Q6P2E9	2.0	1.14705258454	1.1	0	0	0	0	0.9
MTHFR_38to656	Q6P2E9	2.7	1.11839297358	1.08	0	0	0	0	0.58
MTHFR_T34A	Q6P2E9	1.3	1.11731284614	1.08	0	0	0	0	0.74
MTHFR	Q8TED0	1.7	1.0844849211	1.06	0	0	0	0	0.31
MTHFR_38to656	Q8TED0	2.3	1.07315094399	1.05	0	0	0	0	0.31
MTHFR	O43592	1.7	1.13114004027	1.09	0	0	0	0	0.91
MTHFR_38to656	O43592	1.0	1.04874635193	1.03	0	0	0	0	0.48
MTHFR_T34A	O43592	1.0	1.08115708574	1.06	0	0	0	0	0.43
MTHFR	P33176	5.0	1.40557612058	1.27	0	0	0	0	0.94
MTHFR_38to656	P33176	4.7	1.31903601018	1.21	0	0	0	0	0.99
MTHFR_T34A	P33176	6.0	1.51574692243	1.33	0	0	0	0	0.98
MTHFR_38to656	Q9NUQ3	0.7	1.02090026971	1.01	0	0	0	0	0.24
MTHFR	Q52LJ0	1.3	1.09091549647	1.06	0	0	0	0	0.92
MTHFR_38to656	Q52LJ0	1.7	1.10382584065	1.07	0	0	0	0	0.95
MTHFR_T34A	Q52LJ0	0.3	1.02655429107	1.02	0	0	0	0	0.0
MTHFR	P63104	4.0	1.28490248917	1.19	0	0	0	0	0.96
MTHFR_38to656	P63104	2.7	1.15318486831	1.11	0	0	0	0	0.64
MTHFR_T34A	P63104	3.7	1.31652988428	1.21	0	0	0	0	0.96
MTHFR	P49458	1.3	1.09091549647	1.06	0	0	0	0	0.9
MTHFR_38to656	P49458	1.0	1.03135040457	1.02	0	0	0	0	0.3
MTHFR	Q9Y5S9	1.3	1.06758793688	1.05	0	0	0	0	0.32
MTHFR_38to656	Q9Y5S9	1.7	1.05225067428	1.04	0	0	0	0	0.32
MTHFR	Q9ULX3	0.7	1.05712152802	1.04	0	0	0	0	0.0
MTHFR_38to656	Q9ULX3	1.3	1.09398838152	1.07	0	0	0	0	0.54
MTHFR_T34A	Q9ULX3	0.7	1.06420426399	1.05	0	0	0	0	0.0
MTHFR	Q9ULX6	0.3	1.01689698422	1.01	0	0	0	0	0.0
MTHFR_38to656	Q9ULX6	0.7	1.02090026971	1.01	0	0	0	0	0.21
MTHFR	Q71UM5	1.0	0.877789541417	0.91	0	0	0	0	0.14
MTHFR_38to656	Q71UM5	1.0	0.870073936873	0.9	0	0	0	0	0.16
MTHFR_T34A	Q71UM5	1.3	0.918488497523	0.94	0	0	0	0	0.22
MTHFR	Q14676	5.7	1.28724873175	1.19	0	0	0	0	0.32
MTHFR_38to656	Q14676	7.3	1.22990296684	1.16	0	0	0	0	0.32
MTHFR	O60216	1.7	1.0844849211	1.06	0	0	0	0	0.31
MTHFR_38to656	O60216	2.0	1.06270080914	1.04	0	0	0	0	0.31
MTHFR	Q8N3U4	1.7	1.0844849211	1.06	0	0	0	0	0.26
MTHFR_38to656	Q8N3U4	2.3	1.07315094399	1.05	0	0	0	0	0.27
MTHFR	Q9ULV4	2.3	1.14160644913	1.1	0	0	0	0	0.93
MTHFR_38to656	Q9ULV4	2.0	1.1142759755	1.08	0	0	0	0	0.97
MTHFR_T34A	Q9ULV4	1.0	1.10110713065	1.07	0	0	0	0	0.54
MTHFR	P33778	1.0	0.779176837925	0.83	0	0	0	0	0.07
MTHFR_38to656	P33778	1.3	0.797281999155	0.85	0	0	0	0	0.12
MTHFR_T34A	P33778	0.3	0.768663743739	0.82	0	0	0	0	0.0
MTHFR	P61163	3.7	1.29034862458	1.2	0	0	0	0	0.97
MTHFR_38to656	P61163	4.0	1.29752306473	1.2	0	0	0	0	0.97
